,Stage,N_features,Score
0,Train,1,0.4831277213352685
1,Validation,1,0.4923802612481858
2,Train,2,0.47405660377358494
3,Validation,2,0.4807692307692307
4,Train,3,0.47405660377358494
5,Validation,3,0.4807692307692307
6,Train,4,0.46734397677793904
7,Validation,4,0.4735123367198839
8,Train,5,0.45999637155297535
9,Validation,5,0.46516690856313503
10,Train,6,0.45999637155297535
11,Validation,6,0.46516690856313503
12,Train,7,0.45419085631349787
13,Validation,7,0.45972423802612483
14,Train,8,0.4483853410740203
15,Validation,8,0.4521044992743106
16,Train,9,0.44276124818577645
17,Validation,9,0.444121915820029
18,Train,10,0.43949564586357037
19,Validation,10,0.44121915820029023
20,Train,11,0.4374092888243831
21,Validation,11,0.4386792452830188
22,Train,12,0.43550435413642963
23,Validation,12,0.4372278664731495
24,Train,13,0.4336901306240929
25,Validation,13,0.4350507982583455
26,Train,14,0.43196661828737304
27,Validation,14,0.4343251088534107
28,Train,15,0.4305152394775036
29,Validation,15,0.4310595065312046
30,Train,16,0.4305152394775036
31,Validation,16,0.4310595065312046
32,Train,17,0.4291545718432511
33,Validation,17,0.42997097242380267
34,Train,18,0.4278846153846154
35,Validation,18,0.42997097242380267
36,Train,19,0.4168178519593614
37,Validation,19,0.41981132075471694
38,Train,20,0.4158200290275762
39,Validation,20,0.4183599419448476
40,Train,21,0.40611393323657474
41,Validation,21,0.4111030478955007
42,Train,22,0.4052975326560232
43,Validation,22,0.4107402031930334
44,Train,23,0.40448113207547165
45,Validation,23,0.4107402031930334
46,Train,24,0.403755442670537
47,Validation,24,0.40965166908563133
48,Train,25,0.4030297532656023
49,Validation,25,0.40856313497822927
50,Train,26,0.4023947750362845
51,Validation,26,0.408200290275762
52,Train,27,0.4018505079825835
53,Validation,27,0.40602322206095787
54,Train,28,0.3979499274310595
55,Validation,28,0.4002177068214804
56,Train,29,0.39822206095791
57,Validation,29,0.40094339622641506
58,Train,30,0.38343613933236576
59,Validation,30,0.38788098693759077
60,Train,31,0.3832547169811321
61,Validation,31,0.38824383164005805
62,Train,32,0.38407111756168355
63,Validation,32,0.3889695210449927
64,Train,33,0.3839804063860668
65,Validation,33,0.3889695210449927
66,Train,34,0.38370827285921627
67,Validation,34,0.38824383164005805
68,Train,35,0.3832547169811321
69,Validation,35,0.38788098693759077
70,Train,36,0.3829825834542816
71,Validation,36,0.3875181422351234
72,Train,37,0.38370827285921627
73,Validation,37,0.38824383164005805
74,Train,38,0.3048802612481858
75,Validation,38,0.3022496371552975
76,Train,39,0.3028846153846154
77,Validation,39,0.30116110304789545
78,Train,40,0.30279390420899854
79,Validation,40,0.30116110304789545
80,Train,41,0.3026124818577649
81,Validation,41,0.30116110304789545
82,Train,42,0.30243105950653115
83,Validation,42,0.3004354136429608
84,Train,43,0.3725507982583455
85,Validation,43,0.3813497822931785
86,Train,44,0.3725507982583455
87,Validation,44,0.3813497822931785
88,Train,45,0.3723693759071117
89,Validation,45,0.3813497822931785
90,Train,46,0.35830914368650213
91,Validation,46,0.3635703918722787
92,Train,47,0.358399854862119
93,Validation,47,0.36429608127721336
94,Train,48,0.3504172714078374
95,Validation,48,0.35667634252539915
96,Train,49,0.3494194484760522
97,Validation,49,0.3555878084179971
98,Train,50,0.32928156748911463
99,Validation,50,0.331277213352685
100,Train,51,0.32928156748911463
101,Validation,51,0.3309143686502177
102,Train,52,0.31748911465892593
103,Validation,52,0.3189404934687954
104,Train,53,0.31748911465892593
105,Validation,53,0.3189404934687954
106,Train,54,0.316944847605225
107,Validation,54,0.31930333817126266
108,Train,55,0.3172169811320755
109,Validation,55,0.318577648766328
110,Train,56,0.30723875181422355
111,Validation,56,0.3073294629898403
112,Train,57,0.3264695210449927
113,Validation,57,0.3232946298984035
114,Train,58,0.3170355587808418
115,Validation,58,0.316400580551524
116,Train,59,0.3160377358490566
117,Validation,59,0.3156748911465893
118,Train,60,0.3160377358490566
119,Validation,60,0.3156748911465893
120,Train,61,0.3159470246734397
121,Validation,61,0.3156748911465893
122,Train,62,0.31585631349782295
123,Validation,62,0.3153120464441219
124,Train,63,0.31748911465892593
125,Validation,63,0.3182148040638607
126,Train,64,0.31739840348330917
127,Validation,64,0.3182148040638607
128,Train,65,0.2908200290275762
129,Validation,65,0.2866473149492017
130,Train,66,0.2908200290275762
131,Validation,66,0.2866473149492017
132,Train,67,0.2908200290275762
133,Validation,67,0.2866473149492017
134,Train,68,0.2908200290275762
135,Validation,68,0.2866473149492017
136,Train,69,0.2908200290275762
137,Validation,69,0.2866473149492017
138,Train,70,0.2908200290275762
139,Validation,70,0.2866473149492017
